simulation_id,timestamp,node_id,cpu,memory,battery,rssi,packet_loss,latency,throughput,queue_size,traffic_load,link_quality,mobility_speed
35,14,10,4.765211,6.228279,100.000000,15.346567,0.846534,57.794057,0.000000,0,602.000000,0.153466,3.679274
35,15,1,6.928907,1.306383,100.000000,19.531191,0.804688,54.455940,0.000000,0,0.000000,0.195312,1.760948
35,15,2,20.871378,6.853142,100.000000,14.858059,0.851419,58.183994,0.000000,1,0.000000,0.148581,4.414506
35,15,3,28.215652,9.819221,100.000000,14.376166,0.856238,58.569313,1.000000,1,1433.000000,0.143762,3.953289
35,15,4,4.849576,0.000000,100.000000,14.424321,0.855757,58.530038,0.000000,0,2195.000000,0.144243,6.030497
35,15,5,9.670176,7.876149,100.000000,16.079973,0.839200,57.209348,0.000000,0,0.000000,0.160800,9.434349
35,15,6,17.795099,13.717344,100.000000,19.254292,0.807457,54.683582,1.000000,1,961.000000,0.192543,6.511675
35,15,7,0.000000,9.910152,100.000000,28.118178,0.718818,47.616964,0.000000,1,647.000000,0.281182,8.286927
35,15,8,2.119275,0.393204,100.000000,15.657090,0.843429,57.546701,0.000000,0,0.000000,0.156571,9.902659
35,15,9,4.552283,3.458964,100.000000,13.946673,0.860533,58.911359,0.000000,0,0.000000,0.139467,1.194532
35,15,10,4.399367,6.993690,100.000000,14.424321,0.855757,58.530038,0.000000,0,0.000000,0.144243,3.679274
35,16,1,5.890369,0.000000,100.000000,17.991962,0.820080,55.683515,0.000000,0,0.000000,0.179920,1.760948
35,16,2,17.978209,7.408484,100.000000,15.417221,0.845828,57.737917,0.000000,0,0.000000,0.154172,4.414506
35,16,3,30.607418,9.805627,100.000000,14.642110,0.853579,58.357991,0.000000,1,0.000000,0.146421,3.953289
35,16,4,5.572316,0.000000,100.000000,12.853090,0.871469,59.784131,0.000000,0,551.000000,0.128531,6.030497
35,16,5,11.642208,8.059712,100.000000,15.725658,0.842743,57.492017,0.000000,0,0.000000,0.157257,9.434349
35,16,6,21.664937,11.739760,100.000000,18.916627,0.810834,54.954518,1.000000,3,776.000000,0.189166,6.511675
35,16,7,0.000000,9.493891,100.000000,28.856767,0.711432,47.029825,1.000000,1,449.000000,0.288568,8.286927
35,16,8,0.000000,0.000000,100.000000,16.445790,0.835542,56.917913,0.000000,0,0.000000,0.164458,9.902659
35,16,9,3.607828,4.276974,100.000000,13.930367,0.860696,58.924521,0.000000,0,1236.000000,0.139304,1.194532
35,16,10,8.120604,5.331585,100.000000,12.853090,0.871469,59.784131,0.000000,0,0.000000,0.128531,3.679274
35,17,1,6.835478,1.192259,100.000000,17.745465,0.822545,55.880136,0.000000,1,586.000000,0.177455,1.760948
35,17,2,21.088727,6.747194,100.000000,14.999668,0.850003,58.071343,0.000000,2,1660.000000,0.149997,4.414506
35,17,3,33.930694,6.878616,100.000000,13.882333,0.861177,58.964831,0.000000,1,0.000000,0.138823,3.953289
35,17,4,3.453449,0.000000,100.000000,12.694590,0.873054,59.910653,0.000000,0,0.000000,0.126946,6.030497
35,17,5,7.063486,10.772700,100.000000,16.186382,0.838136,57.124225,0.000000,0,0.000000,0.161864,9.434349
